event_id,event_calendar_date,event_title,sample_group,relative_trading_day,company_count,aar,aar_standard_deviation,aar_standard_error,caar,ols_aar,ols_aar_standard_deviation,ols_aar_standard_error,ols_caar
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,3,37,-0.0011131194327634,0.02398110480295722,0.003942469344069807,0.027244568633338254,-0.0021711737317646916,0.02458634118845847,0.004041969592926567,0.020232659120376008
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,4,37,0.0062996988777392834,0.024173682659317332,0.003974128948632846,0.03354426751107754,0.005568987740764484,0.02332219896324266,0.0038341458912911474,0.02580164686114049
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,5,37,0.008899626253927862,0.021138779498460776,0.0034751939424182,0.042443893765005396,0.008338591111894543,0.020240951443464987,0.003327591919402554,0.03414023797303503
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,6,37,-0.008405550006711542,0.022525886450399605,0.0037032329206011646,0.03403834375829386,-0.00806877006373882,0.022297138988395214,0.003665627069498972,0.026071467909296216
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,7,37,0.010389831194504224,0.018540158847115913,0.003047983338946317,0.04442817495279808,0.009771034189370906,0.01843387730950807,0.0030305107617943313,0.03584250209866712
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,8,37,0.01372587813349388,0.020017269278433895,0.0032908187979931725,0.05815405308629196,0.012679828664489686,0.018695178409163668,0.0030734683979594876,0.048522330763156804
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,9,37,0.005031736928447009,0.01420290269686665,0.0023349428201614054,0.06318579001473897,0.0037391568587065785,0.013031761841622861,0.0021424084495673965,0.05226148762186339
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,EXPLORATORY,10,37,-0.001053004421731363,0.015051557991714285,0.002474460891205686,0.062132785593007604,-0.0014999244028160135,0.014911948657887208,0.002451509258106139,0.05076156321904737
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,-5,1,-0.014604889207459,,,-0.014604889207459,-0.0139256522352062,,,-0.0139256522352062
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,-4,1,0.0171612089021541,,,0.002556319694695098,0.0180537714779084,,,0.0041281192427022
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,-3,1,-0.0232626600974098,,,-0.020706340402714702,-0.0222098171336305,,,-0.018081697890928297
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,-2,1,0.0084437669503529,,,-0.012262573452361801,0.0094330736888993,,,-0.008648624202029
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,-1,1,0.000188214715842,,,-0.012074358736519802,0.0010816111496405,,,-0.0075670130523885
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,0,1,-0.020609297598939,,,-0.032683656335458805,-0.0202358783256766,,,-0.0278028913780651
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,1,1,0.0055558186501164,,,-0.027127837685342406,0.0057482261450764,,,-0.0220546652329887
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,2,1,-0.0036458522784781,,,-0.030773689963820506,-0.0023913467217212,,,-0.024446011954709898
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,3,1,0.0004055812480071,,,-0.030368108715813406,0.0009729557143449,,,-0.023473056240365
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,4,1,-0.020319684355886,,,-0.050687793071699405,-0.0196158125648999,,,-0.0430888688052649
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,5,1,-0.0142054069382592,,,-0.0648932000099586,-0.0134659687776211,,,-0.056554837582886
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,6,1,0.0018653174614988,,,-0.0630278825484598,0.0032521951820152,,,-0.0533026424008708
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,7,1,0.0317227244104599,,,-0.0313051581379999,0.0323390058225667,,,-0.0209636365783041
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,8,1,0.0032034270101319,,,-0.028101731127868002,0.0040570053013377,,,-0.0169066312769664
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,9,1,-0.0212815737732002,,,-0.0493833049010682,-0.02050800233577,,,-0.0374146336127364
EVT_PRIMARY_20260228,2026-02-28,Primary conflict event specified in the approved research design,POST_HOC_EXPLORATORY,10,1,-0.0192952256921026,,,-0.0686785305931708,-0.0182959502052232,,,-0.0557105838179596
